Date;Close;Volume;Market Cap
2021-04-22;0,3494;652622588;1813054548
2021-04-23;0,3818;469766102;1980968203
2021-04-24;0,3534;216229167;1833719617
2021-04-25;0,3829;333571613;1986552563
2021-04-26;0,5352;1751007448;2776788926
2021-04-27;0,8328;2631901892;4320649431
2021-04-28;0,7731;3865674203;4011212770
2021-04-29;0,8909;2744234311;4622192049
2021-04-30;0,8206;1906390032;4257425136
2021-05-01;0,7868;966733867;4082333892
2021-05-02;0,8245;779774169;4277887398
2021-05-03;0,7961;815448476;4130678263
2021-05-04;0,7044;787329351;3654611810
2021-05-05;0,8111;925333196;4208221209
2021-05-06;0,7618;585564623;3952438020
2021-05-07;0,7531;585921423;3907526558
2021-05-08;0,8483;757402833;4401091970
2021-05-09;0,9699;2966438616;5032037645
2021-05-10;0,8751;1271190447;4540195202
2021-05-11;1,07;1659530191;5547527485
2021-05-12;1,02;2497330382;5287039731
2021-05-13;1,05;2041911519;6430129026
2021-05-14;1,47;3241106096;8991639822
2021-05-15;1,61;5946636441;9844650618
2021-05-16;1,71;3438259517;10510684713
2021-05-17;1,73;3156131754;10619415361
2021-05-18;2,45;8012820328;15083536946
2021-05-19;1,66;9181248216;10197933063
2021-05-20;1,84;5518161200;11335217064
2021-05-21;1,48;3691087028;9124649666
2021-05-22;1,19;2559785462;7345414002
2021-05-23;1,09;3787398515;6698067049
2021-05-24;1,72;9112450701;10655146131
2021-05-25;1,94;6515075273;12050797339
2021-05-26;2,21;8204673883;13728651095
2021-05-27;2,03;5255177625;12589306979
2021-05-28;1,82;5212099042;11325554715
2021-05-29;1,70;3504118573;10548486898
2021-05-30;1,86;4118454690;11584229101
2021-05-31;1,88;3157990052;11779140508
2021-06-01;1,82;2319361513;11404290496
2021-06-02;1,80;1734391037;11246070579
2021-06-03;1,82;1502571188;11421088581
2021-06-04;1,63;2452329357;10260765162
2021-06-05;1,53;1479392251;9605744600
2021-06-06;1,58;1026604651;9958530384
2021-06-07;1,48;1855450186;9308815307
2021-06-08;1,49;2517422655;9340119522
2021-06-09;1,49;1819221238;9386207416
2021-06-10;1,36;1083382350;8572931952
2021-06-11;1,25;960292127;7879146956
2021-06-12;1,34;1585637917;8441173814
2021-06-13;1,47;1566746227;9246400239
2021-06-14;1,48;1415033591;9300813771
2021-06-15;1,69;2287131448;10645072617
2021-06-16;1,48;1472817044;9296623597
2021-06-17;1,50;1089042381;9464012624
2021-06-18;1,38;1233288351;8667684905
2021-06-19;1,36;868441240;8582311346
2021-06-20;1,40;998938016;8804471916
2021-06-21;1,10;1483730324;6916796329
2021-06-22;1,07;2509624684;6761554740
2021-06-23;1,16;1608298389;7291477967
2021-06-24;1,20;916504353;7571919315
2021-06-25;1,05;960902434;6594407295
2021-06-26;1,08;813581059;6779036974
2021-06-27;1,11;704097942;7009612653
2021-06-28;1,12;728137291;7054943159
2021-06-29;1,17;954899564;7357854732
2021-06-30;1,17;797906875;7358793320
2021-07-01;1,08;596223500;6791037187
2021-07-02;1,10;483658487;6956526572
2021-07-03;1,12;423834017;7051246126
2021-07-04;1,15;510476356;7235477778
2021-07-05;1,10;486095587;6943911250
2021-07-06;1,13;570313255;7134124757
2021-07-07;1,13;582374200;7112849672
2021-07-08;1,04;566038964;6604921064
2021-07-09;1,05;478830499;6655496549
2021-07-10;1,03;355002271;6519696864
2021-07-11;1,04;266686963;6597402754
2021-07-12;0,997;430869287;6311486464
2021-07-13;0,9457;365205018;5986580776
2021-07-14;0,9287;523726158;5879161525
2021-07-15;0,8768;395226772;5550515941
